Age,Gender,Education (last/ongoing),With whom do you live?,What is your thinking about drug?,With whom do you spend most of your times?,Did you ever fail in your life?,Do you get suicidal thoughts?,How is your family relationship?,What is the financial condition of your family?,How many addicted friends do you have?,Do you have any addicted person in your family?,Are you satisfied with your workplace?,Do you have any case running at court or police station?,Do you live with any drug user?,What can be the factors for using drug?,Have you ever taken drug?,What is the name of the drug you used for the 1st time?,At what age you used drugs for the 1st time?,How often do you use drugs?,What drug do you use currently?,In what occasions do you use drugs?,"If you have a chance, will you taste drug?",Is it easy to control the use of drug?,Why did you start using drugs?,Do you feel guilty after taking drugs?,Age_Group,Drug_Use_Frequency
23.0,male,undergraduate,family,should avoid,alone,yes,yes,satisfactory,medium,more than 5,maybe,no,no,no,emotionally hurt by others,no,cigarette,18,"no, i do not",no drug,do not use,no,no,failure in love,yes,18-25,0
21.0,male,undergraduate,family,should avoid,alone,yes,yes,communication gap,medium,more than 5,no,yes,no,no,"friends offer, stress relief, failure in love, emotionally hurt by others",no,cigarette,18,"no, i do not",no drug,do not use,no,no,failure in love,yes,18-25,0
22.0,male,undergraduate,hall/hostel,should avoid,family/relatives,yes,no,very good,medium,more than 5,yes,no,yes,no,teenagers curiosity,no,no drug,no,"no, i do not",no drug,do not use,yes,yes,friends offer,no,18-25,0
15.0,male,s.s.c / o level,family,should avoid,family/relatives,no,no,very good,medium,more than 5,no,yes,yes,no,"teenagers curiosity, peer pressure, failure in love, emotionally hurt by others",no,cigarette,i don’t use drug,"no, i do not",others,do not use,no,no,failure in love,no,<18,0
22.0,female,undergraduate,family,should avoid,family/relatives,no,yes,satisfactory,medium,more than 5,no,yes,no,no,teenagers curiosity,no,cigarette,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
23.0,male,undergraduate,family,should avoid,friends,yes,yes,very good,poor,more than 5,yes,no,no,yes,"low self-confidence, friends offer, low cost of drugs, failure in love, emotionally hurt by others",no,marijuana,20,ocasionally,no drug,others,no,yes,failure in love,yes,18-25,1
23.0,male,undergraduate,hall/hostel,social trend,alone,yes,no,very good,medium,more than 5,no,yes,no,no,teenagers curiosity,no,cigarette,no,"no, i do not",no drug,social gathering,yes,yes,failure in love,sometimes,18-25,0
22.0,male,undergraduate,family,should avoid,alone,no,no,very good,medium,more than 5,no,no,no,no,"teenagers curiosity, joy-seeking, low self-confidence, parents’ divorce, crowded family, friends offer, access to drugs, low cost of drugs, peer pressure, stress relief, failure in love, emotionally hurt by others",yes,alcohol,17,ocasionally,cigarette,others,yes,no,"teenagers curiosity, stress relief",sometimes,18-25,1
23.0,male,undergraduate,family,"disease, should avoid",friends,yes,no,satisfactory,medium,more than 5,no,yes,no,no,teenagers curiosity,no,cigarette,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
22.19446233097231,male,undergraduate,friends,"social trend, should avoid",friends,no,no,very good,medium,4-jan,no,yes,no,no,"teenagers curiosity, parents’ divorce, friends offer, stress relief, failure in love",yes,marijuana,16,ocasionally,cigarette,social gathering,confused,no,teenagers curiosity,yes,18-25,1
23.0,male,undergraduate,family,should avoid,family/relatives,yes,no,very good,medium,more than 5,no,yes,no,no,"teenagers curiosity, joy-seeking, having strict parents, friends offer, stress relief, failure in love, emotionally hurt by others",yes,marijuana,16,"no, i do not",cigarette,at parties,no,yes,"teenagers curiosity, friends offer",sometimes,18-25,0
22.0,female,undergraduate,family,"social trend, should avoid",alone,yes,yes,very good,rich,more than 5,no,no,no,no,joy-seeking,yes,cigarette,18,more than once a day,cigarette,before exams,no,yes,failure in love,sometimes,18-25,5
23.0,male,undergraduate,hall/hostel,should avoid,alone,yes,yes,very good,medium,more than 5,no,no,no,no,"teenagers curiosity, parents’ divorce, friends offer, access to drugs, low cost of drugs, stress relief, failure in love, emotionally hurt by others",yes,cigarette,22,ocasionally,cigarette,social gathering,no,no,teenagers curiosity,yes,18-25,1
24.0,male,undergraduate,alone,should avoid,alone,yes,no,very good,medium,4-jan,no,yes,no,no,"failure in love, emotionally hurt by others",no,cigarette,18,"no, i do not",cigarette,do not use,no,no,"failure in love, emotionally hurt by others",yes,18-25,0
23.0,male,undergraduate,hall/hostel,should avoid,friends,yes,no,very good,medium,more than 5,no,yes,no,no,"teenagers curiosity, positive attitude toward drug abuse, friends offer, access to drugs",yes,cigarette,19,"no, i do not",cigarette,do not use,no,yes,"teenagers curiosity, friends offer",yes,18-25,0
22.19446233097231,male,undergraduate,hall/hostel,should avoid,family/relatives,yes,no,very good,medium,more than 5,no,yes,no,no,teenagers curiosity,no,cigarette,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
24.0,male,undergraduate,family,"social trend, should avoid",family/relatives,yes,yes,satisfactory,medium,more than 5,no,yes,no,no,"having strict parents, friends offer, access to drugs, low cost of drugs",yes,cigarette,17,ocasionally,no drug,social gathering,no,yes,"friends offer, access to drugs, emotionally hurt by others",sometimes,18-25,1
21.0,male,undergraduate,family,"disease, social trend",family/relatives,yes,no,very good,medium,more than 5,no,yes,no,no,"teenagers curiosity, joy-seeking, positive attitude toward drug abuse, low self-confidence, parents’ divorce, having strict parents, friends offer, access to drugs, stress relief, failure in love, emotionally hurt by others",no,no drug,18,"no, i do not",no drug,do not use,no,no,failure in love,yes,18-25,0
18.0,male,hsc/a level,family,should avoid,alone,yes,no,satisfactory,medium,more than 5,no,yes,yes,no,"teenagers curiosity, positive attitude toward drug abuse, friends offer, access to drugs, low cost of drugs, stress relief, failure in love, emotionally hurt by others",no,cigarette,18,"no, i do not",cigarette,do not use,no,no,failure in love,yes,18-25,0
21.0,female,undergraduate,family,"social trend, should avoid",family/relatives,no,yes,average,medium,more than 5,yes,yes,no,no,"teenagers curiosity, low self-confidence, parents’ divorce, low cost of drugs, stress relief, failure in love, emotionally hurt by others",no,no drug,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
26.0,male,undergraduate,family,should avoid,family/relatives,yes,no,very good,medium,more than 5,no,yes,no,no,"teenagers curiosity, parents’ divorce, crowded family, friends offer, access to drugs, low cost of drugs, peer pressure, failure in love, emotionally hurt by others",no,no drug,18,"no, i do not",no drug,do not use,no,no,failure in love,yes,26-35,0
22.0,female,undergraduate,family,should avoid,family/relatives,no,no,very good,medium,more than 5,no,yes,no,no,low self-confidence,no,no drug,never taken,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
23.0,male,undergraduate,friends,should avoid,alone,yes,no,satisfactory,poor,more than 5,yes,no,no,no,teenagers curiosity,no,cigarette,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
21.0,male,undergraduate,hall/hostel,"social trend, should avoid",friends,yes,no,very good,poor,more than 5,no,yes,yes,no,teenagers curiosity,yes,alcohol,2,"no, i do not",lsd,"before exams, others",no,no,joy-seeking,no,18-25,0
22.0,male,hsc/a level,hall/hostel,should avoid,alone,yes,yes,very good,medium,more than 5,no,no,no,no,"teenagers curiosity, joy-seeking, access to drugs, failure in love, emotionally hurt by others",no,cigarette,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
23.0,male,undergraduate,family,should avoid,friends,yes,no,very good,medium,more than 5,no,yes,no,no,"parents’ divorce, failure in love, emotionally hurt by others",no,cigarette,21,once a week,cigarette,social gathering,no,no,failure in love,yes,18-25,2
22.0,male,postgraduate,alone,social trend,friends,yes,yes,satisfactory,rich,more than 5,no,no,no,yes,"teenagers curiosity, positive attitude toward drug abuse, crowded family, friends offer, access to drugs",yes,lsd,chodaice,more than once a day,"cigarette, alcohol, weed, yaba, phensedyl, lsd, heroin, cocaine, opium","before exams, social gathering",yes,no,"joy-seeking, positive attitude toward drug abuse, failure in love",yes,18-25,5
19.0,male,undergraduate,hall/hostel,"disease, should avoid",alone,yes,no,satisfactory,medium,more than 5,no,no,no,no,"friends offer, access to drugs, failure in love, emotionally hurt by others",no,no drug,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
21.0,male,undergraduate,hall/hostel,"social trend, should avoid",family/relatives,yes,no,very good,medium,4-jan,no,yes,no,no,friends offer,no,cigarette,18,several times a week,cigarette,others,no,yes,friends offer,yes,18-25,3
25.0,male,undergraduate,family,social trend,alone,yes,no,very good,poor,more than 5,no,yes,no,no,teenagers curiosity,no,cigarette,20,"no, i do not",cigarette,others,no,yes,stress relief,no,26-35,0
22.0,male,undergraduate,hall/hostel,should avoid,family/relatives,yes,no,very good,medium,4-jan,no,yes,no,no,teenagers curiosity,no,cigarette,19,ocasionally,cigarette,social gathering,no,yes,failure in love,yes,18-25,1
22.0,female,undergraduate,family,"social trend, should avoid",family/relatives,yes,yes,satisfactory,medium,more than 5,no,yes,no,no,"teenagers curiosity, positive attitude toward drug abuse, low self-confidence, parents’ divorce, having strict parents, friends offer, access to drugs, stress relief, failure in love, emotionally hurt by others",no,cigarette,18,"no, i do not",no drug,do not use,no,no,failure in love,yes,18-25,0
28.0,male,undergraduate,alone,should avoid,friends,yes,no,very good,medium,more than 5,no,no,no,yes,failure in love,yes,cigarette,17,more than once a day,"cigarette, weed",on the street,yes,yes,failure in love,yes,26-35,5
16.0,female,s.s.c / o level,family,"disease, should avoid",family/relatives,yes,no,satisfactory,medium,more than 5,no,no,no,no,access to drugs,no,no drug,18,"no, i do not",no drug,do not use,no,no,failure in love,yes,<18,0
22.0,male,undergraduate,hall/hostel,"disease, should avoid",friends,yes,no,very good,poor,more than 5,no,no,no,yes,"teenagers curiosity, joy-seeking, positive attitude toward drug abuse, low self-confidence, parents’ divorce, to eliminate shyness, crowded family, having strict parents, friends offer, access to drugs, low cost of drugs, peer pressure, stress relief, failure in love, emotionally hurt by others",no,no drug,never,"no, i do not",no drug,do not use,no,yes,"teenagers curiosity, joy-seeking, positive attitude toward drug abuse, low self-confidence, parents’ divorce, to eliminate shyness, crowded family, having strict parents, friends offer, access to drugs, low cost of drugs, peer pressure, stress relief, failure in love, emotionally hurt by others",yes,18-25,0
22.0,female,undergraduate,hall/hostel,"social trend, should avoid",alone,yes,no,average,medium,more than 5,no,yes,no,no,"teenagers curiosity, low self-confidence, parents’ divorce, friends offer, stress relief, emotionally hurt by others",no,cigarette,no,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
24.0,male,undergraduate,family,"social trend, should avoid",friends,no,no,very good,medium,more than 5,no,yes,no,no,"teenagers curiosity, positive attitude toward drug abuse, crowded family, having strict parents, friends offer, access to drugs, low cost of drugs, stress relief, failure in love, emotionally hurt by others",no,cigarette,17,more than once a day,no drug,do not use,no,yes,failure in love,yes,18-25,5
22.0,female,undergraduate,family,"disease, should avoid",alone,no,yes,satisfactory,medium,more than 5,no,yes,no,no,friends offer,no,no drug,never taken,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
20.0,female,undergraduate,hall/hostel,should avoid,alone,yes,yes,very good,medium,more than 5,no,yes,no,no,"teenagers curiosity, low self-confidence, parents’ divorce, friends offer, emotionally hurt by others",no,no drug,18,"no, i do not",no drug,do not use,no,no,failure in love,yes,18-25,0
24.0,male,undergraduate,hall/hostel,"disease, should avoid",family/relatives,yes,no,very good,medium,more than 5,no,yes,no,no,teenagers curiosity,no,cigarette,21,"no, i do not",no drug,do not use,no,yes,emotionally hurt by others,yes,18-25,0
21.0,male,undergraduate,family,should avoid,alone,yes,yes,average,medium,more than 5,no,no,no,no,"teenagers curiosity, friends offer, stress relief, emotionally hurt by others",yes,cigarette,16,"no, i do not",no drug,do not use,yes,no,teenagers curiosity,no,18-25,0
23.0,male,undergraduate,hall/hostel,should avoid,alone,yes,no,very good,medium,more than 5,no,yes,no,no,low self-confidence,yes,cigarette,18,once a day,cigarette,"before exams, before doing sports, on the street, at parties, social gathering, do not use, others",no,yes,failure in love,yes,18-25,4
22.0,male,undergraduate,hall/hostel,"disease, should avoid",friends,yes,no,satisfactory,rich,more than 5,no,yes,no,no,"teenagers curiosity, joy-seeking, positive attitude toward drug abuse, low self-confidence, to eliminate shyness, stress relief, failure in love, emotionally hurt by others",no,no drug,0,"no, i do not","no drug, others",do not use,no,no,failure in love,yes,18-25,0
22.0,male,hsc/a level,hall/hostel,should avoid,friends,yes,no,very good,medium,more than 5,no,no,no,no,teenagers curiosity,no,cigarette,22,ocasionally,cigarette,others,confused,no,failure in love,no,18-25,1
23.0,male,undergraduate,family,"disease, should avoid",family/relatives,yes,no,satisfactory,medium,4-jan,no,yes,no,no,friends offer,no,cigarette,18,"no, i do not",no drug,do not use,confused,yes,failure in love,yes,18-25,0
25.0,male,undergraduate,family,should avoid,friends,yes,yes,very good,medium,4-jan,no,yes,no,no,joy-seeking,yes,cigarette,16,more than once a day,cigarette,others,confused,yes,"teenagers curiosity, joy-seeking",sometimes,26-35,5
22.0,female,undergraduate,family,"social trend, should avoid",family/relatives,no,no,very good,poor,more than 5,no,no,no,no,teenagers curiosity,no,cigarette,18,"no, i do not",no drug,do not use,no,no,failure in love,yes,18-25,0
23.0,male,undergraduate,hall/hostel,should avoid,friends,no,no,very good,medium,more than 5,no,yes,no,no,low cost of drugs,no,cigarette,16,"no, i do not",no drug,do not use,no,no,failure in love,yes,18-25,0
22.0,male,undergraduate,hall/hostel,"social trend, should avoid",friends,yes,yes,average,medium,more than 5,no,no,yes,yes,"teenagers curiosity, joy-seeking, friends offer, access to drugs, stress relief, failure in love, emotionally hurt by others",yes,cigarette,18,once a day,"cigarette, cocaine",social gathering,yes,no,friends offer,sometimes,18-25,4
23.0,male,undergraduate,family,should avoid,family/relatives,yes,no,very good,medium,more than 5,no,yes,no,no,"teenagers curiosity, access to drugs, low cost of drugs, stress relief, failure in love, emotionally hurt by others",no,no drug,18,"no, i do not",no drug,do not use,no,no,failure in love,yes,18-25,0
23.0,male,undergraduate,hall/hostel,"social trend, should avoid",friends,yes,no,very good,medium,more than 5,no,no,no,no,"teenagers curiosity, low self-confidence, parents’ divorce, friends offer, low cost of drugs, stress relief, failure in love",yes,cigarette,18,more than once a day,cigarette,"before exams, social gathering, others",yes,yes,"friends offer, access to drugs",sometimes,18-25,5
23.0,others,undergraduate,family,should avoid,family/relatives,no,no,satisfactory,medium,more than 5,no,yes,no,no,"teenagers curiosity, stress relief, emotionally hurt by others",no,no drug,never used,"no, i do not",no drug,do not use,confused,no,failure in love,yes,18-25,0
21.0,male,undergraduate,family,"disease, should avoid",family/relatives,yes,no,very good,medium,4-jan,no,yes,no,no,teenagers curiosity,no,no drug,no,"no, i do not",no drug,do not use,no,yes,teenagers curiosity,yes,18-25,0
22.0,male,undergraduate,hall/hostel,should avoid,alone,yes,no,satisfactory,medium,4-jan,no,yes,no,no,"teenagers curiosity, joy-seeking, access to drugs, stress relief, failure in love, emotionally hurt by others",no,no drug,never,"no, i do not",no drug,do not use,no,no,failure in love,yes,18-25,0
21.0,male,undergraduate,family,"disease, should avoid",family/relatives,yes,no,very good,medium,4-jan,no,yes,no,no,"teenagers curiosity, parents’ divorce, friends offer, stress relief, failure in love, emotionally hurt by others",no,no drug,no,"no, i do not",no drug,do not use,no,yes,"teenagers curiosity, failure in love, emotionally hurt by others",yes,18-25,0
22.0,male,undergraduate,family,should avoid,friends,yes,yes,very good,medium,more than 5,no,yes,no,no,"low self-confidence, friends offer, access to drugs, low cost of drugs",no,no drug,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
23.0,male,undergraduate,hall/hostel,"social trend, should avoid",alone,no,no,very good,medium,more than 5,no,no,no,yes,access to drugs,no,no drug,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
20.0,male,undergraduate,hall/hostel,should avoid,friends,yes,no,average,medium,more than 5,no,no,no,no,"teenagers curiosity, low cost of drugs, peer pressure, stress relief, failure in love, emotionally hurt by others",no,cigarette,17,once a day,cigarette,others,confused,yes,"friends offer, access to drugs, low cost of drugs, peer pressure, stress relief, failure in love, emotionally hurt by others",yes,18-25,4
23.0,male,undergraduate,friends,social trend,friends,yes,no,very good,medium,more than 5,no,no,no,no,"joy-seeking, parents’ divorce, friends offer",yes,cigarette,19,once a day,cigarette,at parties,yes,yes,friends offer,yes,18-25,4
22.19446233097231,male,undergraduate,hall/hostel,"disease, should avoid",friends,yes,no,very good,medium,4-jan,yes,no,no,no,"having strict parents, friends offer, access to drugs, failure in love",yes,cigarette,19,ocasionally,cigarette,social gathering,confused,no,friends offer,yes,18-25,1
25.0,male,undergraduate,family,"social trend, should avoid",family/relatives,no,no,very good,medium,4-jan,maybe,yes,yes,yes,"teenagers curiosity, low self-confidence, crowded family, access to drugs, failure in love",no,alcohol,dont know,more than once a day,cigarette,before exams,no,yes,failure in love,sometimes,26-35,5
22.0,male,undergraduate,family,"social trend, should avoid",family/relatives,yes,yes,very good,medium,4-jan,no,yes,no,no,"teenagers curiosity, joy-seeking, parents’ divorce, friends offer",no,cigarette,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
22.0,male,undergraduate,family,should avoid,family/relatives,yes,no,very good,medium,4-jan,no,yes,no,no,"parents’ divorce, friends offer, access to drugs, low cost of drugs, failure in love, emotionally hurt by others",no,no drug,18,"no, i do not",no drug,do not use,no,no,failure in love,yes,18-25,0
22.0,female,undergraduate,family,"social trend, should avoid",family/relatives,yes,no,very good,medium,more than 5,no,yes,no,no,"teenagers curiosity, parents’ divorce, having strict parents, friends offer, low cost of drugs, stress relief, failure in love, emotionally hurt by others",no,no drug,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
23.0,male,undergraduate,hall/hostel,"disease, should avoid",friends,yes,no,very good,medium,more than 5,no,yes,no,no,"teenagers curiosity, joy-seeking, positive attitude toward drug abuse, friends offer",no,cigarette,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
22.0,male,undergraduate,relatives,should avoid,alone,yes,no,average,medium,4-jan,no,no,no,no,"teenagers curiosity, joy-seeking, parents’ divorce, friends offer, access to drugs, stress relief, failure in love",no,cigarette,18,"no, i do not",no drug,at parties,no,yes,failure in love,yes,18-25,0
22.0,female,undergraduate,hall/hostel,should avoid,family/relatives,yes,yes,very good,medium,more than 5,no,yes,no,no,"teenagers curiosity, friends offer, access to drugs, low cost of drugs",no,no drug,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
21.0,male,postgraduate,hall/hostel,should avoid,alone,yes,no,very good,medium,more than 5,no,yes,no,yes,"teenagers curiosity, friends offer, access to drugs, low cost of drugs, stress relief, failure in love, emotionally hurt by others",yes,cigarette,21,"no, i do not",no drug,do not use,yes,yes,"friends offer, stress relief",sometimes,18-25,0
23.0,male,undergraduate,friends,"disease, should avoid",friends,no,no,satisfactory,medium,more than 5,no,yes,no,no,friends offer,no,cigarette,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
23.0,male,undergraduate,family,should avoid,alone,yes,yes,satisfactory,medium,more than 5,maybe,no,no,no,emotionally hurt by others,no,cigarette,18,"no, i do not",no drug,do not use,no,no,failure in love,yes,18-25,0
21.0,male,undergraduate,family,should avoid,alone,yes,yes,communication gap,medium,more than 5,no,yes,no,no,"friends offer, stress relief, failure in love, emotionally hurt by others",no,cigarette,18,"no, i do not",no drug,do not use,no,no,failure in love,yes,18-25,0
22.0,male,undergraduate,hall/hostel,should avoid,family/relatives,yes,no,very good,medium,more than 5,yes,no,yes,no,teenagers curiosity,no,no drug,no,"no, i do not",no drug,do not use,yes,yes,friends offer,no,18-25,0
15.0,male,s.s.c / o level,family,should avoid,family/relatives,no,no,very good,medium,more than 5,no,yes,yes,no,"teenagers curiosity, peer pressure, failure in love, emotionally hurt by others",no,cigarette,i don’t use drug,"no, i do not",others,do not use,no,no,failure in love,no,<18,0
22.0,female,undergraduate,family,should avoid,family/relatives,no,yes,satisfactory,medium,more than 5,no,yes,no,no,teenagers curiosity,no,cigarette,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
23.0,male,undergraduate,family,should avoid,friends,yes,yes,very good,poor,more than 5,yes,no,no,yes,"low self-confidence, friends offer, low cost of drugs, failure in love, emotionally hurt by others",no,marijuana,20,ocasionally,no drug,others,no,yes,failure in love,yes,18-25,1
23.0,male,undergraduate,hall/hostel,social trend,alone,yes,no,very good,medium,more than 5,no,yes,no,no,teenagers curiosity,no,cigarette,no,"no, i do not",no drug,social gathering,yes,yes,failure in love,sometimes,18-25,0
22.0,male,undergraduate,family,should avoid,alone,no,no,very good,medium,more than 5,no,no,no,no,"teenagers curiosity, joy-seeking, low self-confidence, parents’ divorce, crowded family, friends offer, access to drugs, low cost of drugs, peer pressure, stress relief, failure in love, emotionally hurt by others",yes,alcohol,17,ocasionally,cigarette,others,yes,no,"teenagers curiosity, stress relief",sometimes,18-25,1
23.0,male,undergraduate,family,"disease, should avoid",friends,yes,no,satisfactory,medium,more than 5,no,yes,no,no,teenagers curiosity,no,cigarette,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
22.19446233097231,male,undergraduate,friends,"social trend, should avoid",friends,no,no,very good,medium,4-jan,no,yes,no,no,"teenagers curiosity, parents’ divorce, friends offer, stress relief, failure in love",yes,marijuana,16,ocasionally,cigarette,social gathering,confused,no,teenagers curiosity,yes,18-25,1
23.0,male,undergraduate,family,should avoid,family/relatives,yes,no,very good,medium,more than 5,no,yes,no,no,"teenagers curiosity, joy-seeking, having strict parents, friends offer, stress relief, failure in love, emotionally hurt by others",yes,marijuana,16,"no, i do not",cigarette,at parties,no,yes,"teenagers curiosity, friends offer",sometimes,18-25,0
22.0,female,undergraduate,family,"social trend, should avoid",alone,yes,yes,very good,rich,more than 5,no,no,no,no,joy-seeking,yes,cigarette,18,more than once a day,cigarette,before exams,no,yes,failure in love,sometimes,18-25,5
23.0,male,undergraduate,hall/hostel,should avoid,alone,yes,yes,very good,medium,more than 5,no,no,no,no,"teenagers curiosity, parents’ divorce, friends offer, access to drugs, low cost of drugs, stress relief, failure in love, emotionally hurt by others",yes,cigarette,22,ocasionally,cigarette,social gathering,no,no,teenagers curiosity,yes,18-25,1
24.0,male,undergraduate,alone,should avoid,alone,yes,no,very good,medium,4-jan,no,yes,no,no,"failure in love, emotionally hurt by others",no,cigarette,18,"no, i do not",cigarette,do not use,no,no,"failure in love, emotionally hurt by others",yes,18-25,0
23.0,male,undergraduate,hall/hostel,should avoid,friends,yes,no,very good,medium,more than 5,no,yes,no,no,"teenagers curiosity, positive attitude toward drug abuse, friends offer, access to drugs",yes,cigarette,19,"no, i do not",cigarette,do not use,no,yes,"teenagers curiosity, friends offer",yes,18-25,0
22.19446233097231,male,undergraduate,hall/hostel,should avoid,family/relatives,yes,no,very good,medium,more than 5,no,yes,no,no,teenagers curiosity,no,cigarette,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
24.0,male,undergraduate,family,"social trend, should avoid",family/relatives,yes,yes,satisfactory,medium,more than 5,no,yes,no,no,"having strict parents, friends offer, access to drugs, low cost of drugs",yes,cigarette,17,ocasionally,no drug,social gathering,no,yes,"friends offer, access to drugs, emotionally hurt by others",sometimes,18-25,1
21.0,male,undergraduate,family,"disease, social trend",family/relatives,yes,no,very good,medium,more than 5,no,yes,no,no,"teenagers curiosity, joy-seeking, positive attitude toward drug abuse, low self-confidence, parents’ divorce, having strict parents, friends offer, access to drugs, stress relief, failure in love, emotionally hurt by others",no,no drug,18,"no, i do not",no drug,do not use,no,no,failure in love,yes,18-25,0
18.0,male,hsc/a level,family,should avoid,alone,yes,no,satisfactory,medium,more than 5,no,yes,yes,no,"teenagers curiosity, positive attitude toward drug abuse, friends offer, access to drugs, low cost of drugs, stress relief, failure in love, emotionally hurt by others",no,cigarette,18,"no, i do not",cigarette,do not use,no,no,failure in love,yes,18-25,0
21.0,female,undergraduate,family,"social trend, should avoid",family/relatives,no,yes,average,medium,more than 5,yes,yes,no,no,"teenagers curiosity, low self-confidence, parents’ divorce, low cost of drugs, stress relief, failure in love, emotionally hurt by others",no,no drug,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
26.0,male,undergraduate,family,should avoid,family/relatives,yes,no,very good,medium,more than 5,no,yes,no,no,"teenagers curiosity, parents’ divorce, crowded family, friends offer, access to drugs, low cost of drugs, peer pressure, failure in love, emotionally hurt by others",no,no drug,18,"no, i do not",no drug,do not use,no,no,failure in love,yes,26-35,0
22.0,female,undergraduate,family,should avoid,family/relatives,no,no,very good,medium,more than 5,no,yes,no,no,low self-confidence,no,no drug,never taken,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
23.0,male,undergraduate,friends,should avoid,alone,yes,no,satisfactory,poor,more than 5,yes,no,no,no,teenagers curiosity,no,cigarette,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
21.0,male,undergraduate,hall/hostel,"social trend, should avoid",friends,yes,no,very good,poor,more than 5,no,yes,yes,no,teenagers curiosity,yes,alcohol,2,"no, i do not",lsd,"before exams, others",no,no,joy-seeking,no,18-25,0
22.0,male,hsc/a level,hall/hostel,should avoid,alone,yes,yes,very good,medium,more than 5,no,no,no,no,"teenagers curiosity, joy-seeking, access to drugs, failure in love, emotionally hurt by others",no,cigarette,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
23.0,male,undergraduate,family,should avoid,friends,yes,no,very good,medium,more than 5,no,yes,no,no,"parents’ divorce, failure in love, emotionally hurt by others",no,cigarette,21,once a week,cigarette,social gathering,no,no,failure in love,yes,18-25,2
22.0,male,postgraduate,alone,social trend,friends,yes,yes,satisfactory,rich,more than 5,no,no,no,yes,"teenagers curiosity, positive attitude toward drug abuse, crowded family, friends offer, access to drugs",yes,lsd,chodaice,more than once a day,"cigarette, alcohol, weed, yaba, phensedyl, lsd, heroin, cocaine, opium","before exams, social gathering",yes,no,"joy-seeking, positive attitude toward drug abuse, failure in love",yes,18-25,5
19.0,male,undergraduate,hall/hostel,"disease, should avoid",alone,yes,no,satisfactory,medium,more than 5,no,no,no,no,"friends offer, access to drugs, failure in love, emotionally hurt by others",no,no drug,18,"no, i do not",no drug,do not use,no,yes,failure in love,yes,18-25,0
21.0,male,undergraduate,hall/hostel,"social trend, should avoid",family/relatives,yes,no,very good,medium,4-jan,no,yes,no,no,friends offer,no,cigarette,18,several times a week,cigarette,others,no,yes,friends offer,yes,18-25,3
25.0,male,undergraduate,family,social trend,alone,yes,no,very good,poor,more than 5,no,yes,no,no,teenagers curiosity,no,cigarette,20,"no, i do not",cigarette,others,no,yes,stress relief,no,26-35,0
22.0,male,undergraduate,hall/hostel,should avoid,family/relatives,yes,no,very good,medium,4-jan,no,yes,no,no,teenagers curiosity,no,cigarette,19,ocasionally,cigarette,social gathering,no,yes,failure in love,yes,18-25,1
22.0,female,undergraduate,family,"social trend, should avoid",family/relatives,yes,yes,satisfactory,medium,more than 5,no,yes,no,no,"teenagers curiosity, positive attitude toward drug abuse, low self-confidence, parents’ divorce, having strict parents, friends offer, access to drugs, stress relief, failure in love, emotionally hurt by others",no,cigarette,18,"no, i do not",no drug,do not use,no,no,failure in love,yes,18-25,0
28.0,male,undergraduate,alone,should avoid,friends,yes,no,very good,medium,more than 5,no,no,no,yes,failure in love,yes,cigarette,17,more than once a day,"cigarette, weed",on the street,yes,yes,failure in love,yes,26-35,5
16.0,female,s.s.c / o level,family,"disease, should avoid",family/relatives,yes,no,satisfactory,medium,more than 5,no,no,no,no,access to drugs,no,no drug,18,"no, i do not",no drug,do not use,no,no,failure in love,yes,<18,0
